r,sigma,Df,A,W,PiC_transfer,PiC_net,p,Q,S,CS,PiAI,Roy,NashVal
0.0,0.0006460418644447673,4.81032,1.9309265098434945e-05,2.274311771420793e-10,0.0,0.0,2.3171118118121955e-07,2.2874764888793437e-08,5.3003387916250155e-15,2.181972802552296e-13,5.393624754357616e-12,0.0,-inf
0.00099,0.0009672556493761786,4.810320000038116,4.846246975770696e-05,-6.222549718350007e-08,2.977698797445182e-17,-6.365804477684737e-08,5.821190193476884e-07,5.741049249203748e-08,3.3419739589732686e-14,1.3744172582903478e-12,3.397425915877554e-11,3.308554219383536e-17,-inf
0.00198,0.0014479464095295141,4.810320000038116,0.00012158699063593659,-5.464091029141886e-08,3.752270472695495e-16,-6.365769324686704e-08,1.4619037221686956e-06,1.4403487639540515e-07,2.1056512192455078e-13,8.65110102280593e-12,2.1384681135564348e-10,4.169189414106105e-16,-inf
0.00297,0.0021670047680715323,4.810320000038116,0.00030488210385478244,-6.962618361802594e-09,3.5423844250501177e-15,-6.365447034751941e-08,3.669352447304666e-06,3.61166368594098e-07,1.3252466984848924e-12,5.4393957800037756e-11,1.3445657843883034e-09,3.9359826945001304e-15,-inf
0.00396,0.0032419922088900706,4.810320000038116,0.0007638757453125001,2.922340814577379e-07,2.967816590192457e-14,-6.362787457628854e-08,9.202513594136798e-06,9.048839708853277e-07,8.327207043188714e-12,3.414458553190878e-10,8.440209774235728e-09,3.297573989102731e-14,-inf
0.0049499999999999995,0.004847658633182118,4.810320000038116,0.0019115447250661513,2.164933394277023e-06,2.3253697718751094e-13,-6.342144544992432e-08,2.3051271247959105e-05,2.2643806400697747e-06,5.2196852342875634e-11,2.1381340078622086e-09,5.2852595135236907e-08,2.5837441909723437e-13,-inf
0.00594,0.007242787421240654,4.810320000038116,0.0047748146784056655,1.3841089668299312e-05,1.7427667104828843e-12,-6.188463567332295e-08,5.763602583842653e-05,5.65608951147151e-06,3.259945212276252e-10,1.3340392350261438e-08,3.2976153657391217e-07,1.936407456092094e-12,-inf
0.00693,0.010808447409824652,4.810320000038116,0.011894653397807925,8.622270653884281e-05,1.2629869752792691e-11,-5.0805919617468486e-08,0.00014371986771274557,1.4089848357428273e-05,2.0249911420222367e-09,8.278443574863019e-08,2.046350813388004e-06,1.4033188614214102e-11,-inf
0.00792,0.016101029586805697,4.810320000076233,0.02951193962027911,0.0005310292885644319,8.894170246150035e-11,-3.681178516207756e-08,0.0003569362876164972,3.495803756913982e-05,1.2477792152286807e-08,5.096008509158082e-07,1.2596837875917253e-05,9.882411384611151e-11,-inf
0.00891,0.023922559550754632,4.810320000381167,0.07278684001832779,0.0032302467682085467,6.092440414996738e-10,-1.663389797695275e-08,0.0008811993485814445,8.621779456804118e-05,7.59750644094867e-08,3.099772877773789e-06,7.66233736135047e-05,6.769378238885264e-10,-inf
0.009899999999999999,0.035406887636002415,4.81032000243947,0.17794734492586242,0.019306136849128536,4.049949375642804e-09,4.6975204303514015e-08,0.0021564609146083177,0.00021078043646433344,4.545397727994169e-07,1.8526639629171577e-05,0.0004579605300399599,4.499943750714227e-09,-19.206388942073566
0.01089,0.05211007867797345,4.81032001585655,0.42948992311895917,0.11245949244410788,2.597700898494705e-08,-4.8437912050185675e-08,0.005209934429129537,0.0005087290032252154,2.650444748999801e-06,0.00010792176786729136,0.002667721238423218,2.8863343316607835e-08,-inf
0.01188,0.07607157029873338,4.810320096968896,1.0175563519928494,0.63122813628697,1.5922565129040795e-07,7.64794880149376e-08,0.012355700517395096,0.0012052765605221275,1.4892036222447433e-05,0.0006057723919224687,0.014974104923570155,1.769173903226755e-07,-17.219040277955354
0.01287,0.10977513909288494,4.810320560163094,2.3481215396926043,3.361162248075505,9.194415104444006e-07,7.340201533532533e-08,0.028540365202465133,0.0027812723914749865,7.937852978022969e-05,0.0032256935401972736,0.0797360100365526,1.021601678271556e-06,-16.403376402717377
0.01386,0.15589160374350208,4.810322989035748,5.22405070779102,16.635735782566368,4.905774601930892e-06,1.0789963649984878e-08,0.06355896461607617,0.006187639979826073,0.00039327999053478366,0.015965632512815815,0.3946549225516127,5.450860668812102e-06,-16.562398660706272
0.01485,0.2166663686767725,4.810334383338509,11.065644555528161,74.63792531183883,2.3606688630431053e-05,-9.576896448332089e-09,0.13476497949245547,0.013106570235054803,0.0017663066689435878,0.07163317044711903,1.7707023703721878,2.622965403381228e-05,-inf
0.01584,0.29291260169550565,4.810380734394892,22.00578908610566,295.16092168669456,9.96805135618062e-05,2.9240637754862634e-09,0.26826783925620057,0.026064174156893837,0.006992179683067213,0.2832852697585322,7.002536611488648,0.00011075612617978466,-15.777211706471391
