Regime,r,CS,PiAI,PiC,Admin,Creation,TotalWelfare,PiC_net
Exception,0.0,77918.00302463226,1892.7450127441048,0.0,-0.0,-0.0,79810.74803737637,0.0
Opt-out (r=0),0.0,72182.92331881712,1753.4313356797697,0.0,-0.0,-0.0,73936.35465449688,0.0
Opt-in (r=0),0.0,2.2203755238772168e-10,5.393624754357616e-12,0.0,-0.0,-0.0,2.274311771420793e-10,0.0
Opt-in (AI-opt),0.50886,96712.52535931591,2349.292113991482,2190.647690298357,-243.40529892203966,-2187.621700299756,98821.43816438396,3.0259899986010654
Opt-in (Creator-opt),0.98802,25041.100103792363,608.2858324807868,45150.1428536645,-5016.682539296055,-2187.621700299756,63595.224550341845,42962.521153364745
Opt-in (W-opt),0.50886,96712.52535931591,2349.292113991482,2190.647690298357,-243.40529892203966,-2187.621700299756,98821.43816438396,3.0259899986010654
Opt-in (Bargain β),0.96624,54925.25714140454,1334.216772665699,34367.78000528597,-3818.642222809551,-2187.621700299756,84620.9899962469,32180.158304986213
Statutory (W-opt),0.50886,96712.52535931591,2349.292113991482,2190.647690298357,-243.40529892203966,-2187.621700299756,98821.43816438396,3.0259899986010654
