r,sigma,Df,A,W,p,Q,S,CS,PiAI,Roy
0.0,1.0,4.81032,361.71909543180044,79810.74803737637,4.340629145181609,0.42851135046357175,1.8600088568633102,77918.00302463226,1892.7450127441048,0.0
0.00099,1.0,4.811330946640474,361.757103245563,79823.7466548834,4.345335498504557,0.42855128027225226,1.8621990910965935,77932.52490792626,1893.0977710427449,1.876024057148895
0.00198,1.0,4.81234427664226,361.79519665781834,79836.7758937007,4.350052105825323,0.42859130042205407,1.8643944889393702,77947.0810046751,1893.4513604374529,3.7564715072505126
0.00297,1.0,4.813359998695962,361.8333759681798,79849.83586593872,4.354779000927322,0.42863141123171755,1.866595068769727,77961.67144003214,1893.8057839683936,5.641358011680822
0.00396,1.0,4.8143781210347925,361.87164145888295,79862.92667680024,4.359516217517311,0.4286716129992394,1.8688008488594887,77976.29633166839,1894.1610444939702,7.530699305445688
0.0049499999999999995,1.0,4.815398652196889,361.90999342344134,79876.0484359539,4.364263789570574,0.42871190603581627,1.8710118476698951,77990.95580211918,1894.5171449907505,9.424511198134983
0.00594,1.0,4.816421600872866,361.9484321609115,79889.20125525897,4.3690217512630145,0.42875229065905096,1.8732280837932358,78005.64997631457,1894.8740884934732,11.322809574523903
0.00693,1.0,4.817446975600859,361.9869579644319,79902.38524421501,4.373790136833665,0.42879276717937437,1.8754495758347616,78020.37897663961,1895.2318779750535,13.225610394400313
0.00792,1.0,4.8184747849952485,362.02557112981776,79915.60051337408,4.378568980688948,0.4288333359102264,1.8776763425018812,78035.14292663855,1895.5905164365656,15.132929693348924
0.00891,1.0,4.819505037746638,362.0642719555584,79928.84717433972,4.383358317403473,0.4288739971680515,1.879908402604652,78049.94195101399,1895.950006907224,17.044783583270302
0.009899999999999999,1.0,4.820537742545641,362.10306073995207,79942.1253386293,4.388158181686137,0.428914751268904,1.8821457750265156,78064.77617439188,1896.3103524143794,18.961188252603126
0.01089,1.0,4.821572908235334,362.14193778683114,79955.43511994803,4.392968608450248,0.4289555985352289,1.8843884787842478,78079.64572379038,1896.6715560434927,20.882159967358167
0.01188,1.0,4.822610543582552,362.18090339697017,79968.7766307766,4.397789632710204,0.4289965392856834,1.886636532939134,78094.55072491532,1897.0336208481467,22.80771507071609
0.01287,1.0,4.8236506574303775,362.2199578738122,79982.14998464538,4.4026212896515915,0.4290375738419191,1.8888899566568997,78109.49130462928,1897.3965499100248,24.73786998403657
0.01386,1.0,4.824693258774346,362.2591015263277,79995.55529727064,4.407463614666828,0.4290787025319675,1.891148769238098,78124.46759218532,1897.7603463688758,26.67264120781291
0.01485,1.0,4.825738356305072,362.2983346518418,80008.99267973173,4.4123166431470295,0.42911992566989776,1.8934129899393062,78139.47971181985,1898.125013242589,28.612045319649237
0.01584,1.0,4.826785959170563,362.33765756465243,80022.4622498413,4.4171804108309045,0.4291612435897141,1.895682638272315,78154.52779509667,1898.4905537270465,30.556098978861584
0.01683,1.0,4.827836076366361,362.37707057313247,80035.9641230479,4.422054953527039,0.4292026566182319,1.8979577337656173,78169.61197103074,1898.8569709562137,32.50481892367859
0.01782,1.0,4.828888716888008,362.4165739854537,80049.49841471013,4.426940307184182,0.4292441650818579,1.900238296024498,78184.73236855696,1899.224268062114,34.45822197241531
0.01881,1.0,4.829943890035983,362.45616812102776,80063.06524464351,4.4318365080318225,0.429285769320139,1.9025243448515194,78199.88912146672,1899.5924482947403,36.41632502616625
0.019799999999999998,1.0,4.831001604653353,362.49585328189784,80076.66472575064,4.436743592231447,0.4293274696518781,1.9048158999469111,78215.08235606443,1899.9615147222146,38.379145063762344
0.02079,1.0,4.832061870193071,362.53562979278536,80090.29697993775,4.441661596366833,0.4293692664225642,1.9071129813293024,78230.31220844724,1900.3314706505419,40.34669915015652
0.02178,1.0,4.833124695803141,362.57549796676204,80103.96212447091,4.446590557025172,0.42941115996371326,1.9094156089758731,78245.57880969289,1900.7023192637967,42.319004430052026
0.02277,1.0,4.834190090707805,362.6154581195516,80117.66027766035,4.451530510972652,0.4294531506098069,1.9117238029728887,78260.88229203084,1901.0740637740303,44.29607813118167
0.02376,1.0,4.835258064283773,362.6555105723869,80131.39155999642,4.456481495190463,0.4294952387016744,1.9140375835464227,78276.22279007598,1901.44670745124,46.27793756560012
0.02475,1.0,4.836328625907758,362.69565564628834,80145.15609187545,4.461443546805499,0.42953742457971567,1.916356971002626,78291.60043835944,1901.8202535633886,48.26460012888374
0.02574,1.0,4.837401785108931,362.73589366777986,80158.9539958725,4.466416703161466,0.4295797085906695,1.9186819857886013,78307.01537379644,1902.1947054363525,50.256083302128495
0.02673,1.0,4.838477551111537,362.77622495173773,80172.78538992106,4.4714010016085775,0.42962209106730115,1.9210126483115018,78322.46772828147,1902.570066274045,52.252404647739304
0.02772,1.0,4.83955593359722,362.81664982997177,80186.65039867871,4.47639647985622,0.42966457236224886,1.923348979241299,78337.95764102822,1902.946339458177,54.25358181776923
0.02871,1.0,4.84063694209515,362.8571686283573,80200.54914443362,4.481403175692328,0.42970715282094113,1.925690999269474,78353.4852486967,1903.3235283084234,56.25963254819347
0.0297,1.0,4.841720586134512,362.8977816725513,80214.48174937727,4.486421127054454,0.4297498327883655,1.9280387291698418,78369.05068786105,1903.7016361423753,58.27057466085597
0.03069,1.0,4.842806875473176,362.9384892965616,80228.44833901328,4.491450372136564,0.4297926126192147,1.9303921898901177,78384.65409871057,1904.0806663654405,60.28642606674372
0.03168,1.0,4.843895819716556,362.97929182845996,80242.44903647441,4.496490949213349,0.4298354926609671,1.9327514024006995,78400.29561887961,1904.4606223209641,62.307204761987926
0.03267,1.0,4.844987428698759,363.02018960466404,80256.48396820435,4.50154289681774,0.429878473270799,1.9351163878470197,78415.97538961674,1904.8415074400843,64.33292883304307
0.03366,1.0,4.846081712101428,363.061182955654,80270.5532582747,4.5066062535649065,0.42992155479866795,1.9374871673980245,78431.69354961447,1905.2233250918512,66.36361645237879
0.03465,1.0,4.847178679911141,363.10227222310664,80284.65703520308,4.511681058365583,0.4299647376076032,1.9398637624293513,78447.4502424122,1905.6060787630513,68.39928588505694
0.03564,1.0,4.848278341809538,363.1434577370483,80298.79542286143,4.516767350143384,0.4300080220466486,1.942246194280039,78463.24560652484,1905.9897718184186,70.43995548094946
0.03663,1.0,4.849380707859433,363.1847398415531,80312.96855070259,4.521865168154839,0.4300514084812929,1.9446344845274872,78479.07978654675,1906.3744077703682,72.48564368480292
0.03762,1.0,4.850485788123635,363.22611888046106,80327.17654807752,4.5269745518130735,0.4300948972765563,1.9470286548356284,78494.95292698157,1906.7599901291087,74.53636903162689
0.03861,1.0,4.8515935925124865,363.2675951916708,80341.41954196311,4.532095540617413,0.4301384887902319,1.9494287268941233,78510.8651697752,1907.1465223427192,76.59215014474083
0.039599999999999996,1.0,4.852704131088797,363.30916911855564,80355.69766150565,4.5372281742963825,0.43018218338640196,1.9518347225411161,78526.81665924934,1907.5340079169898,78.65300574085046
0.04059,1.0,4.8538174141440775,363.35084101281353,80370.01103915686,4.54237249284451,0.43022598143881174,1.9542466637946914,78542.80754333487,1907.9224504453834,80.71895463209484
0.04158,1.0,4.854933451741139,363.39261121734296,80384.35980385609,4.547528536309387,0.43026988331059185,1.9566645726694265,78558.83796616939,1908.311853429218,82.79001571919083
0.04257,1.0,4.856052254095253,363.43448008051035,80398.74408671033,4.5526963449706646,0.4303138893711507,1.9590884713301489,78574.90807426468,1908.7022204274838,84.86620799807606
0.04356,1.0,4.857173831574173,363.4764479561468,80413.16402099376,4.557875959341201,0.43035799999616975,1.961518382092703,78591.01801650629,1909.0935550568347,86.94755056069982
0.04455,1.0,4.858298194469398,363.51851519498655,80427.61973873858,4.563067420060786,0.430402215557465,1.9639543273322482,78607.167940452,1909.4858609016699,89.03406259162634
0.04554,1.0,4.8594253531486835,363.5606821503725,80442.11137300661,4.568270767968479,0.43044653642974107,1.966396329545265,78623.35799479853,1909.8791415740548,91.12576337120723
0.04653,1.0,4.860555318132228,363.6029491811041,80456.63905902454,4.5734860441394565,0.43049096299396244,1.9688444113810424,78639.58833061418,1910.2734007436657,93.22267227768337
0.04752,1.0,4.861688099787784,363.64531664003005,80471.20292963964,4.578713289742589,0.43053549562384585,1.9712985955188151,78655.85909640486,1910.668642017933,95.32480878201346
0.04851,1.0,4.862823708788028,363.687784891154,80485.80312213425,4.583952546256529,0.4305801347061121,1.9737589048535618,78672.17044551356,1911.064869121788,97.43219245719655
